id,title,authors,abstract,field,field_multi,is_AP,is_NA
2503.00280v1,Relationship between haptotaxis and chemotaxis in cell dynamics,Hideki Murakawa; Yoshitaro Tanaka,"The phenomenon where cells with elongated protrusions, such as neurons, communicate by contacting other cells and arrange themselves appropriately is termed cell sorting through haptotaxis. This phenomenon is described by partial differential equations involving nonlocal advection. In contrast, cell phenomena where cells communicate with other cells via chemical substances and arrange themselves appropriately are termed cell sorting through chemotaxis, typically modeled by chemotactic systems such as the Keller--Segel model. Although there are clear differences between haptotaxis and chemotaxis, similar behaviors are often observed. In this study, we investigate the relationship between haptotaxis and chemotaxis in cell sorting phenomena. Specifically, we analyze the connections between a nonlocal aggregation model for haptotaxis and a Keller--Segel type chemotaxis system. By demonstrating convergence under specific kernel approximations, we show how these distinct mechanisms can lead to comparable dynamic behaviors. This study provides a mathematical framework for understanding the interplay between haptotaxis and chemotaxis in cell sorting phenomena.",AP,AP,1,0
2503.00270v1,Surfaces with Commuting Boundary Laplacian and Dirichlet-to-Neumann Map,Romain Speciel,"For $M\subset \mathbb{R}^{d\geq 3}$ a smooth, connected, compact $d$-dimensional submanifold with boundary, equipped with the standard metric, the Laplacian on $\partial M$ is known to commute with the corresponding Dirichlet-to-Neumann map if and only if $M$ is a ball. In this paper, we investigate the $d=2$ case and show that, surprisingly, there exists a one-parameter family of submanifolds of $\mathbb{R}^2$ as above for which the boundary Laplacian and the Dirichlet-to-Neumann map commute, thus answering an open problem posed by Girouard, Karpukhin, Levitin, and Polterovich. We then classify all such Riemannian surfaces of genus $0$ or whose boundary has $k\geq 3$ connected components.",AP,AP,1,0
2503.00236v1,Large-Time Asymptotics for Hyperbolic Systems with Non-Symmetric Relaxation: An Algorithmic Approach,Timothée Crin-Barat; Lorenzo Liverani; Ling-Yun Shou; Enrique Zuazua,"We study the stability of one-dimensional linear hyperbolic systems with non-symmetric relaxation. Introducing a new frequency-dependent Kalman stability condition, we prove an abstract decay result underpinning a form of inhomogeneous hypocoercivity. In contrast with the homogeneous setting, the decay rates depend on how the Kalman condition is fulfilled and, in most cases, a loss of derivative occurs: one must assume an additional regularity assumption on the initial data to ensure the decay. Under structural assumptions, we refine our abstract result by providing an algorithm, of wide applicability, for the construction of Lyapunov functionals. This allows us to systematically establish decay estimates for a given system and uncover algebraic cancellations (beyond the reach of the Kalman-based approach) reducing the loss of derivatives in high frequencies. To demonstrate the applicability of our method, we derive new stability results for the Sugimoto model, which describes the propagation of nonlinear acoustic waves, and for a beam model of Timoshenko type with memory.",AP,AP,1,0
2503.00158v1,A regularization of incompressible Stokes problem with Tresca friction condition,A. Zafrar,"In the present article, we introduce and study a model addressing the Stokes problem with non-linear boundary conditions of the Tresca type. We suggest a new procedure for regularizing incompressible fluid, i.e. we assume that the divergence $\nabla \cdot {\bf u}\in [-\epsilon,\,\epsilon]$ which leads to class of constrained elliptic variational inequalities. We use a fixed point strategy to show the existence and uniqueness of a solution and we reformulate the problem as an equivalent constrained minimization problem. An ADMM is applied to the minimization problem and some algorithm are provided.",AP_NA,AP;NA,1,1
2503.00129v1,The Zakharov System on the Upper Half-Plane,M. B. Erdoğan; N. Tzirakis,"In this paper we study the Zakharov system on the upper half--plane $U=\{(x ,y)\in \R^2: y>0\}$ with non-homogenous boundary conditions. In particular we obtain low regularity local well--posedness using the restricted norm method of Bourgain and the Fourier--Laplace method of solving initial and boundary value problems. Moreover we prove that the nonlinear part of the solution is in a smoother space than the initial data. To our knowledge this is the first paper which establishes low regularity results for the 2d initial-boundary value Zakharov system.",AP,AP,1,0
2502.21310v2,Perturbations of a minimal surface with triple junctions in $\mathbb{R}^2 \times \mathbb{S}^1$,Chen-Kuan Lee,"We construct stationary perturbations of a specific minimal surface with a circle of triple junctions in $\mathbb{R}^2 \times \mathbb{S}^1$, that satisfy given boundary data.",AP,AP,1,0
2502.21273v1,Fujita-type results for the semilinear heat equations driven by mixed local-nonlocal operators,Vishvesh Kumar; Berikbol T. Torebek,"This paper explores the critical behavior of the semilinear heat equation $u_t+\mathcal{L}_{a, b}u=|u|^p+f(x)$, considering both the presence and absence of a forcing term $f(x).$ The mixed local-nonlocal operator $\mathcal{L}_{a, b}=-a\Delta+b(-\Delta)^s,\,a,\,b \in \mathbb{R}_+,$ incorporates both local and nonlocal Laplacians. We determine the Fujita-type critical exponents by considering the existence or nonexistence of global solutions. Interestingly, the critical exponent is determined by the nonlocal component of the operator and, as a result, coincides with that of the fractional Laplacian.   In the case without a forcing term, our results improve upon recent findings by Biagi et al. [Bull. London Math. Soc. 57 (2025), 265-284] and Del Pezzo et al. [Nonlinear Analysis 255 (2025), 113761]. When a forcing term is included, our results refine those of Wang et al. [J. Math. Anal. Appl., 488 (1) (2020), 124067] and complement the work of Majdoub [La Matematica, 2 (2023), 340-361].",AP,AP,1,0
2502.21205v2,Stability of axial free-boundary hyperplanes in circular cones,Gian Paolo Leonardi; Giacomo Vianello,"Given an axially-symmetric, $(n+1)$-dimensional convex cone $\Omega\subset \mathbb{R}^{n+1}$, we study the stability of the free-boundary minimal surface $\Sigma$ obtained by intersecting $\Omega$ with a $n$-plane that contains the axis of $\Omega$. In the case $n=2$, $\Sigma$ is always unstable, as a special case of the vertex-skipping property recently proved in a paper by the same authors. Conversely, as soon as $n \ge 3$ and $\Omega$ has a sufficiently large aperture (depending on the dimension $n$), we show that $\Sigma$ is strictly stable. For our stability analysis, we introduce a Lipschitz flow $\Sigma_{t}[f]$ of deformations of $\Sigma$ associated with a compactly-supported, scalar deformation field $f$, which satisfies the key property $\partial \Sigma_{t}[f] \subset \partial \Omega$ for all $t\in \mathbb{R}$. Then, we compute the lower-right second variation of the area of $\Sigma$ along the flow, and ultimately show that it is positive by exploiting its connection with a functional inequality studied in the context of reaction-diffusion problems.",AP,AP,1,0
2502.21200v1,Dynamics of the NLS-log equation on a tadpole graph,Jaime Angulo Pava; Andrés Gerardo Pérez Yépez,"This work aims to study some dynamics issues of the nonlinear logarithmic Schr\""odinger equation (NLS-log) on a tadpole graph, namely, a graph consisting of a circle with a half-line attached at a single vertex. By considering $\delta$-type boundary conditions at the junction we show the existence and the orbital stability of standing-waves solutions with a profile determined by a positive single-lobe state. Via a splitting eigenvalue method, we identify the Morse index and the nullity index of a specific linearized operator around an a priori positive single-lobe state. To our knowledge, the results contained in this paper are the first in studying the (NLS-log) on tadpole graphs. In particular, our approach has the prospect of being extended to study stability properties of other bound states for the (NLS-log) on a tadpole graph or another non-compact metric graph such as a looping edge graph.",AP,AP,1,0
2502.21152v1,Sub-elliptic diffusions on compact groups via Dirichlet form perturbation,Qi Hou; Laurent Saloff-Coste,"This work provides an extension of parts of the classical finite dimensional sub-elliptic theory in the context of infinite dimensional compact connected metrizable groups. Given a well understood and well behaved bi-invariant Laplacian, $\Delta$, and a sub-Laplacian, $L$, to which intrinsic distances, $d_\Delta$, $d_L$, are naturally attached, we show that a comparison inequality of the form $d_L\le C(d_\Delta)^c$ (for some $0<c\le 1$) implies that the Dirichlet form of a fractional power of $\Delta$ is dominated by the Dirichlet form associated with $L$. We use this result to show that, under additional assumptions, certain good properties of the heat kernel for $\Delta$ are then passed to the heat kernel associated with $L$. Explicit examples on the infinite product of copies of $SU(2)$ are discussed to illustrate these results.",AP,AP,1,0
2502.21137v1,"Helfrich cylinders -- instabilities, bifurcations and amplitude equations",Alexander Meiners; Hannes Uecker,"Combining local bifurcation analysis with numerical continuation and bifurcation methods we study bifurcations from cylindrical vesicles described by the Helfrich equation with volume and area constraints, with a prescribed periodicity along the cylindrical axis. The bifurcating solutions are in two main classes, axisymmetric (pearling), and non-axisymmetric (coiling, buckling, and wrinkling), and depending on the spontaneous curvature and the prescribed periodicity along the cylinder axis we obtain different stabilities of the bifurcating branches, and different secondary bifurcations.",AP,AP,1,0
2502.21128v1,Stochastic complex Ginzburg-Landau equation on compact surfaces,Tristan Robert; Younes Zine,"We study a stochastic complex Ginzburg-Landau equation (SCGL) on compact surfaces with magnetic Laplacian and polynomial nonlinearity, forced by a space-time white noise. After renormalizing the equation in a suitable manner, we show that the dynamics is locally well-posed. Moreover, we prove deterministic global well-posedness for the defocusing SCGL in the weakly dispersive regime.",AP,AP,1,0
2502.21062v1,The spatially discrete to continuous limit in the nonlocal quantum diffusion equation,Daniel Matthes; Eva-Maria Rott,"We propose and analyse a spatial discretization of the non-local Quantum Drift Diffusion (nlQDD) model by Degond, M\`{e}hats and Ringhofer in one space dimension. With our approach, that uses consistently matrices on ${\mathbb C}^N$ instead of operators on $L^2$, we circumvent a variety of analytical subtleties in the analysis of the original nlQDD equation, e.g. related to positivity of densities or to the quantum exponential function.   Our starting point is spatially discretized quantum Boltzmann equation with a BGK-type collision kernel, from which we derive the discretized nlQDD model in the diffusive limit. Then we verify that solutions dissipate the von-Neumann entropy, which is a known key property of the original nlQDD, and prove global existence of positive solutions, which seems to be a particular feature of the discretization. Our main result concerns convergence of the scheme: discrete solutions converge -- locally uniformly with respect to space and time -- to classical solutions of the the original nlQDD model on any time interval $[0,T)$ on which the latter remain positive. In particular, this extends the existence theory for nlQDD, that has been established only for initial data close to equilibrium so far.",AP_NA,AP;NA,1,1
2502.21023v1,Sharp Boundary Estimates and Harnack Inequalities for Fractional Porous Medium type Equation,Matteo Bonforte; Carlos Fuertes Moran,"This paper provides sharp quantitative and constructive estimates of nonnegative solutions $u(t,x)\geq 0$ to the nonlinear fractional diffusion equation, $$\partial_t u +{\mathcal L} F(u)=0,$$ also known as filtration equation, posed in a smooth bounded domain $x\in \Omega \subset {\mathbb R}^N$ with suitable homogeneous Dirichlet boundary conditions. Both the operator ${\mathcal L}$ and the nonlinearity $F$ belong to a general class. The assumption on ${\mathcal L}$ are set in terms of the kernel of ${\mathcal L}$ and/or ${\mathcal L}^{-1}$, and allow for operators with degenerate kernel at the boundary of $\Omega$. The main examples of ${\mathcal L}$ are the three different Dirichlet Fractional Laplacians on bounded domains, and the nonlinearity can be non-homogeneous, for instance, $F(u)=u^2+u^{10}$. Previous result were known in the porous medium case, i.e. $F(u)=|u|^{m-1} u$ with $m>1$. Our aim here is to perform the next step: a delicate analysis of regularity through quantitative, constructive and sharp a priori estimates. Our main results are global Harnack type inequalities $$H_0(t,u_0)\, {\rm dist}(x, \partial \Omega)^a\leq F(u(t,x))\leq H_1(t)\, {\rm dist}(x, \partial \Omega)^b\qquad\forall (t,x)\in (0,\infty)\times \overline{\Omega},$$ where the expressions of $H_0, H_1$ and $a,b$ are explicit and may change according to ${\mathcal L}$ and $F$. The sharpness of such estimates is proven by means of examples and counterexamples: on the one hand, we can match the powers (i.e. $a=b$) when the operator has a non degenerate kernel. On the other hand, when ${\mathcal L}$ has a kernel that degenerates at the boundary $\partial\Omega$, there appear an intriguing anomalous boundary behaviour: the size of the initial data determines the sharp boundary behaviour of the solution, different for ``small'' and ``large'' initial data. We conclude the paper with higher regularity results.",AP,AP,1,0
2502.20993v1,Numerical Approximation for the Critical Value of Eikonal Hamilton-Jacobi Equations on Networks,Valentina Coscetti; Marco Pozza,"The critical value of an eikonal equation is the unique value of a parameter for which the equation admits solutions and is deeply related to the effective Hamiltonian of a corresponding homogenization problem. We study approximation strategies for the critical value of eikonal equations posed on networks. They are based on the large time behavior of corresponding time-dependent Hamilton-Jacobi equations. We provide error estimates and some numerical tests, showing the performance and the convergence properties of the proposed algorithms.",AP_NA,AP;NA,1,1
2502.20949v1,Monotonicity results in half spaces for quasilinear elliptic equations involving a singular term,Luigi Montoro; Luigi Muglia; Berardino Sciunzi,"We consider positive solutions to $\displaystyle -\Delta_p u=\frac{1}{u^\gamma}+f(u)$ under zero Dirichlet condition in the half space. Exploiting a prio-ri estimates and the moving plane technique, we prove that any solution is monotone increasing in the direction orthogonal to the boundary.",AP,AP,1,0
2502.20871v1,Time-optimal problem in the space of probabilities measures,Yurii Averboukh; Ekaterina Kolpakova,"This paper focuses on the value function in the time-optimal problem for a continuity equation in the space of probability measures. We derive the dynamic programming principle for this problem. In particular, we prove that the Kruzhkov transform of the value function coincides with a unique discontinuous viscosity solution to the corresponding Dirichlet problem for the Hamilton-Jacobi equation. Finally, we establish the $\Gamma$-convergence of the value function in a perturbed problem to the value function in the unperturbed problem.",AP,AP,1,0
2502.20756v2,A general quasilinear elliptic problem with variable exponents and Neumann boundary conditions for image processing,Bogdan Maxim,"The aim of this paper is to state and prove existence and uniqueness results for a general elliptic problem with homogeneous Neumann boundary conditions, often associated with image processing tasks like denoising. The novelty is that we surpass the lack of coercivity of the Euler-Lagrange functional with an innovative technique that has at its core the idea of showing that the minimum of the energy functional over a subset of the space $W^{1,p(x)}(\Omega)$ coincides with the global minimum. The obtained existence result applies to multiple-phase elliptic problems under remarkably weak assumptions.",AP,AP,1,0
2502.20713v1,Refinement of the $L^{2}$-decay estimate of solutions to nonlinear Schrödinger equations with attractive-dissipative nonlinearity,Naoyasu Kita; Hayato Miyazaki; Takuya Sato,"This paper is concerned with the $L^{2}$-decay estimate of solutions to nonlinear dissipative Schr\""odinger equations with power-type nonlinearity of the order $p$. It is known that the sign of the real part of the dissipation coefficient affects the long-time behavior of solutions, when neither size restriction on the initial data nor strong dissipative condition is imposed. In that case, if the sign is negative, then Gerelmaa, the first and third author [7] obtained the $L^{2}$-decay estimate under the restriction $p \le 1+1/d$. In this paper, we relax the restriction to $p \le 1+4/(3d)$ by refining an energy-type estimate. Furthermore, when $p < 1+ 4/(3d)$, using an iteration argument, the best available decay rate is established, as given by Hayashi, Li and Naumkin [11].",AP,AP,1,0
2502.20644v1,Recent advances about the rigorous integration of parabolic PDEs via fully spectral Fourier-Chebyshev expansions,Matthieu Cadiot; Jean-Philippe Lessard,"This paper presents a novel approach to rigorously solving initial value problems for semilinear parabolic partial differential equations (PDEs) using fully spectral Fourier-Chebyshev expansions. By reformulating the PDE as a system of nonlinear ordinary differential equations and leveraging Chebyshev series in time, we reduce the problem to a zero-finding task for Fourier-Chebyshev coefficients. A key theoretical contribution is the derivation of an explicit decay estimate for the inverse of the linear part of the PDE, enabling larger time steps. This allows the construction of an approximate inverse for the Fr\'echet derivative and the application of a Newton-Kantorovich theorem to establish solution existence within explicit error bounds. Building on prior work, our method is extended to more complex partial differential equations, including the 2D Navier-Stokes equations, for which we establish global existence of the solution of the IVP for a given nontrivial initial condition.",AP_NA,AP;NA,1,1
2502.20575v1,Estimates for pseudo-differential operators on the torus revisited. I,Duván Cardona; Manuel Alejandro Martínez,"In this paper we prove $L^p$-estimates for H\""ormander classes of pseudo-differential operators on the torus $\mathbb{T}^n$. The results are presented in the context of the global symbolic calculus of Ruzhansky and Turunen on $\mathbb{T}^n\times\mathbb{Z}^n$ by using the discrete Fourier analysis on the torus which extends the usual ($\rho,\delta$)-H\""ormander classes on $\mathbb{T}^n$. The main results extend \'Alvarez and Hounie's method for $\mathbb{R}^n$ to the torus, and Fefferman's $L^p$-boundedness theorem in the toroidal setting allowing the condition $\delta\geq\rho$. When $\delta \leq \rho$, our results recover the available estimates in the literature.",AP,AP,1,0
2502.20520v1,Hyperboloidal approach for linear and non-linear wave equations in FLRW spacetimes,Flavio Rossetti; Alex Vañó-Viñuales,"In this numerical work, we deal with two distinct problems concerning the propagation of waves in cosmological backgrounds. In both cases, we employ a spacetime foliation given in terms of compactified hyperboloidal slices. These slices intersect future null infinity, so our method is well-suited to study the long-time behaviour of waves. Moreover, our construction is adapted to the presence of the time--dependent scale factor that describes the underlying spacetime expansion. First, we investigate decay rates for solutions to the linear wave equation in a large class of expanding FLRW spacetimes, whose non--compact spatial sections have either zero or negative curvature. By means of a hyperboloidal foliation, we provide new numerical evidence for the sharpness of decay--in--time estimates for linear waves propagating in such spacetimes. Then, in the spatially-flat case, we present numerical results in support of small data global existence of solutions to semi-linear wave equations in FLRW spacetimes having a decelerated expansion, provided that a generalized null condition holds. In absence of this null condition and in the specific case of $ \square_g \phi = (\partial_t \phi)^2 $ (Fritz John's choice), the results we obtain suggest that, when the spacetime expansion is sufficiently slow, solutions diverge in finite time for every choice of initial data.",AP,AP,1,0
2502.20392v1,Scalable Signature Kernel Computations for Long Time Series via Local Neumann Series Expansions,Matthew Tamayo-Rios; Alexander Schell; Rima Alaifari,"The signature kernel is a recent state-of-the-art tool for analyzing high-dimensional sequential data, valued for its theoretical guarantees and strong empirical performance. In this paper, we present a novel method for efficiently computing the signature kernel of long, high-dimensional time series via dynamically truncated recursive local power series expansions. Building on the characterization of the signature kernel as the solution of a Goursat PDE, our approach employs tilewise Neumann-series expansions to derive rapidly converging power series approximations of the signature kernel that are locally defined on subdomains and propagated iteratively across the entire domain of the Goursat solution by exploiting the geometry of the time series. Algorithmically, this involves solving a system of interdependent local Goursat PDEs by recursively propagating boundary conditions along a directed graph via topological ordering, with dynamic truncation adaptively terminating each local power series expansion when coefficients fall below machine precision, striking an effective balance between computational cost and accuracy. This method achieves substantial performance improvements over state-of-the-art approaches for computing the signature kernel, providing (a) adjustable and superior accuracy, even for time series with very high roughness; (b) drastically reduced memory requirements; and (c) scalability to efficiently handle very long time series (e.g., with up to half a million points or more) on a single GPU. These advantages make our method particularly well-suited for rough-path-assisted machine learning, financial modeling, and signal processing applications that involve very long and highly volatile data.",AP_NA,AP;NA,1,1
2502.20308v1,"Boltzmann framework for polyatomic gases: review on well-posedness, higher integrability and physical relevance",Ricardo Alonso; Milana Colic,"This paper reviews results on the scalar Boltzmann equation for a single-component polyatomic gas with continuous internal energy. For the space homogeneous problem, $L^1$-theory is established, for solutions with initial strictly positive mass and bounded energy, which enables to solve the Cauchy problem for initial data with $L^1_{2^+}$-moments using the comparison principle for ODEs. Then, deriving entropy-based estimates, $L^p$-integrability properties of the solution are explored, $p\in (1,\infty]$. All these analytical results hold under a specific assumption on the collision kernel corresponding to cut-off and hard-potentials type. A mean to verify physical applicability of the model is to evaluate the corresponding Boltzmann collision operator and to derive models for transport coefficients in terms of the collision kernel parameters. Comparison with experimental data for polytropic gases determines values of these parameters showing the physical relevance of the collision kernel.",AP,AP,1,0
2502.20255v1,Discrete Superconvergence Analysis for Quantum Magnus Algorithms of Unbounded Hamiltonian Simulation,Yonah Borns-Weil; Di Fang; Jiaqi Zhang,"Motivated by various applications, unbounded Hamiltonian simulation has recently garnered great attention. Quantum Magnus algorithms, designed to achieve commutator scaling for time-dependent Hamiltonian simulation, have been found to be particularly efficient for such applications. When applied to unbounded Hamiltonian simulation in the interaction picture, they exhibit an unexpected superconvergence phenomenon. However, existing proofs are limited to the spatially continuous setting and do not extend to discrete spatial discretizations. In this work, we provide the first superconvergence estimate in the fully discrete setting with a finite number of spatial discretization points $N$, and show that it holds with an error constant uniform in $N$. The proof is based on the two-parameter symbol class, which, to our knowledge, is applied for the first time in algorithm analysis. The key idea is to establish a semiclassical framework by identifying two parameters through the discretization number and the time step size rescaled by the operator norm, such that the semiclassical uniformity guarantees the uniformity of both. This approach may have broader applications in numerical analysis beyond the specific context of this work.",AP_NA,AP;NA,1,1
2502.20239v1,Off-diagonal upper heat kernel bounds on graphs with unbounded geometry,Christian Rose,"Results regarding off-diagonal Gaussian upper heat kernel bounds on discrete weighted graphs with possibly unbounded geometry are summarized and related.   After reviewing uniform upper heat kernel bounds obtained by Carlen, Kusuoka, and Stroock, the universal Gaussian term on graphs found by Davies is addressed and related to corresponding results in terms of intrinsic metrics. Then we present a version of Grigor'yan's two-point method with Gaussian term involving an intrinsic metric. A discussion of upper heat kernel bounds for graph Laplacians with possibly unbounded but integrable weights on bounded combinatorial graphs preceeds the presentation of compatible bounds for anti-trees, an example of combinatorial graph with unbounded Laplacian. Characterizations of localized heat kernel bounds in terms of intrinsic metrics and universal Gaussian are reconsidered. Finally, the problem of optimality of the Gaussian term is discussed by relating Davies' optimal metric with the supremum over all intrinsic metrics.",AP,AP,1,0
2502.20098v1,Numerical analysis of the Landau--Lifshitz--Bloch equation with spin-torques,Agus L. Soenjaya,"The current-induced magnetisation dynamics in a ferromagnet at elevated temperatures can be described by the Landau--Lifshitz--Bloch (LLB) equation with spin-torque terms. First, we establish the existence and uniqueness of the global strong solution to the model in spatial dimensions $d=1,2,3$, with an additional smallness assumption on the initial data if $d=3$. We then propose a fully discrete linearly implicit finite element scheme for the problem and prove that it approximates the solution with an optimal order of convergence, provided the exact solution possesses adequate regularity. Furthermore, we propose an unconditionally energy-stable finite element method to approximate the LLB equation without spin current. This scheme also converges to the exact solution at an optimal order, and is shown to be energy-dissipative at the discrete level. Finally, some numerical simulations to complement the theoretical analysis are included.",AP_NA,AP;NA,1,1
2502.20091v1,An introduction to monotonicity methods in mean-field games,Rita Ferreira; Diogo Gomes; Teruo Tada,"This chapter examines monotonicity techniques in the theory of mean-field games(MFGs). Originally, monotonicity ideas were used to establish the uniqueness of solutions for MFGs. Later, monotonicity methods and monotone operators were further exploited to build numerical methods and to construct weak solutions under mild assumptions. Here, after a brief discussion on the mean-field game formulation, we introduce the Minty method and regularization strategies for PDEs. These are then used to address typical stationary and time-dependent monotone MFGs and to establish the existence of weak solutions for such MFGs.",AP,AP,1,0
2502.20081v1,Weak-strong uniqueness for solutions to mean-field games,Rita Ferreira; Diogo Gomes; Vardan Voskanyan,"This paper addresses the crucial question of solution uniqueness in stationary first-order Mean-Field Games (MFGs). Despite well-established existence results, establishing uniqueness, particularly for weaker solutions in the sense of monotone operators, remains an open challenge. Building upon the framework of monotonicity methods, we introduce a linearization method that enables us to prove a weak-strong uniqueness result for stationary MFG systems on the d-dimensional torus. In particular, we give explicit conditions under which this uniqueness holds.",AP,AP,1,0
2502.20059v2,Global smooth solutions to Navier-Stokes equations with large initial data in critical space,Haina Li; Yiran Xu,"In this paper, we investigate the existence of a unique global smooth solution to the three-dimensional incompressible Navier-Stokes equations and provide a concise proof. We establish a new global well-posedness result that allows the initial data to be arbitrarily large within the critical space $\dot{B}^{-1}_{\infty,\infty}$, while still satisfying the nonlinear smallness condition.",AP,AP,1,0
2502.20057v1,Integral representation of solutions to initial-boundary value problems in the framework of the hyperbolic heat equation,Sergey A. Rukolaine,"We consider initial-boundary value problems on a finite interval for the system of the energy balance equation and modified Fourier's law (constitutive equation, commonly called the Cattaneo equation) describing temperature (or internal energy) and heat flux. This hyperbolic system of first-order partial differential equations is the simplest model of non-Fourier heat conduction. Boundary conditions comprise various models of behavior of a physical system at the boundaries, including boundary conditions describing Newton's law, which states that the heat flux at the boundary is directly proportional to the difference in the temperature of the physical system and ambient temperature. In this case the boundary conditions express the relationship of unknown functions (temperature or internal energy and heat flux) with each other. To solve the problems, we apply the Fokas unified transform method.",AP,AP,1,0
2502.20051v1,Shock formation for the 2D rotating shallow water equations with non-zero vorticity,Zhendong Chen; Chunjing Xie,"In the paper, the shock formation for the two-dimensional rotating shallow water system is established. We construct a large class of initial data which leads to the finite-time blow-up for the solutions. Moreover, the solutions are allowed to have non-zero large vorticity (in derivative sense), even up to the shock. Our results provide the first complete geometric description of the shock formation mechanism to the two-dimensional rotating shallow water system with vorticity. The formation of shock is characterized by the collapse of the characteristic hypersurfaces, where the first-order derivatives of the velocity, the height, and the specific vorticity blow up while the potential vorticity remains Lipschitz continuous. The methods developed in this paper should also be useful in studying the shock formation for the Euler equations with various source terms and a class of quasilinear Klein-Gordon equations in multi-dimensions.",AP,AP,1,0
2502.20042v1,Global existence of martingale solutions to stochastic keller-segel system with degenerate diffusion,Jinhuan Wang; Qian Li; Hui Huang,"In this paper, we study the stochastic degenerate Keller-Segel system perturbed by linear multiplicative noise in a bounded domain $\mathcal{O}$. We establish the global existence of martingale solutions for this model with any nonnegative initial data in $H_{2}^{-1}(\mathcal{O})$. The main challenge in proving the existence of solutions arises from the degeneracy of the porous media diffusion and the lack of coercivity in the nonlinear chemotactic term. To overcome these difficulties, we construct a solution operator and apply the Schauder fixed point theorem within the variational framework.",AP,AP,1,0
2502.19947v1,Numerical analysis of a finite volume method for a 1-D wave equation with non smooth wave speed and localized Kelvin-Voigt damping,Stéphane Gerbi; Rayan Nasser; Ali Wehbe,"In this paper, we study the numerical solution of an elastic/viscoelastic wave equation with non smooth wave speed and internal localized distributed Kelvin-Voigt damping acting faraway from the boundary. Our method is based on the Finite Volume Method (FVM) and we are interested in deriving the stability estimates and the convergence of the numerical solution to the continuous one. Numerical experiments are performed to confirm the theoretical study on the decay rate of the solution to the null one when a localized damping acts.",AP_NA,AP;NA,1,1
2502.19925v1,Weak Harnack estimates for a doubly nonlinear nonlocal p-Laplace equation,Bin Shang; Chao Zhang,"We establish a new type of weak Harnack estimates with optimal parabolic tail for the weak supersolutions to a doubly nonlinear nonlocal $p$-Laplace equation, which is modeled on the nonlocal Trudinger equation. Our results are achieved by employing the expansion of positivity and measure theoretical techniques. In particular, the weak Harnack estimates highlight the nonlocal feature, as we only require the local positivity of weak supersolutions instead of the global one.",AP,AP,1,0
2502.19904v1,First order operators on shrinking graph-like spaces,Pavel Exner; Olaf Post,"In this article we discuss the convergence of first order operators on a thickened graph (a graph-like space) towards a similar operator on the underlying metric graph. On the graph-like space, the first order operator is of the form exterior derivative (the gradient) on functions and its adjoint (the negative divergence) on closed 1-forms (irrotational vector fields). Under the assumption that each cross section of the tubular edge neighbourhood is convex, that each vertex neighbourhood is simply connected and under suitable uniformity assumptions (which hold in particular, if the spaces are compact) we establish generalised norm resolvent convergence of the first order operator on the graph-like space towards the one on the metric graph. The square of the first order operator is of Laplace type; on the metric graph, the function (0-form) component is the usual standard (Kirchhoff) Laplacian. A key ingredient in the proof is a uniform Gaffney estimate: such an estimate follows from an equality relating here the divergence operator with all (weak) partial derivatives and a curvature term, together with a (localised) Sobolev trace estimate.",AP,AP,1,0
2502.19889v1,Wave breaking for the nonlinear variational wave equation,Sondre Tesdal Galtung; Katrin Grunert,"Following conservative solutions of the nonlinear variational wave equation $u_{tt}-c(u)(c(u)u_x)_x=0$ along forward and backward characteristics, we identify criteria, which guarantee that wave breaking either occurs in the nearby future or occurred recently. Thereafter, we apply the established criteria to show that not every traveling wave solution is a conservative solution. Furthermore, we show that conservative solutions can locally behave like solutions to the linear wave equation and hence energy that concentrates on sets of measure zero might remain concentrated instead of spreading out immediately.",AP,AP,1,0
2502.19886v1,Global strong solutions to a compressible fluid-particle interaction model with density-dependent friction force,Fucai Li; Jinkai Ni; Man Wu,"We investigate the Cauchy problem for a fluid-particle interaction model in $\mathbb{R}^3$. This model consists of the compressible barotropic Navier-Stokes equations and the Vlasov-Fokker-Planck equation coupled together via the density-dependent friction force. Due to the strong coupling caused by the friction force, it is a challenging problem to construct the global existence and optimal decay rates of strong solutions. In this paper, by assuming that the $H^2$-norm of the initial data is sufficiently small, we establish the global well-posedness of strong solutions. Furthermore, if the $L^1$-norm of initial data is bounded, then we achieve the optimal decay rates of strong solutions and their gradients in $L^2$-norm. The proofs rely on developing refined energy estimates and exploiting the frequency decomposition method. In addition, for the periodic domain case, our global strong solutions decay exponentially.",AP,AP,1,0
2502.19843v1,Physics-Informed Neural Networks for Solving Forward and Inverse PDEs with Limited and Noisy Data: Application to Solar Corona Modeling,Hubert Baty,"I will demonstrate the effectiveness of Physics-Informed Neural Networks (PINNs) in solving partial differential equations (PDEs) when training data are scarce or noisy. The training data can be located either at the boundaries or within the domain. Additionally, PINNs can be used as an inverse method to determine unknown coefficients in the equations. This study will highlight the application of PINNs in modeling magnetohydrodynamic processes relevant to strongly magnetized plasmas, such as those found in the solar corona.",AP,AP,1,0
2502.19819v1,Decay estimates for solutions to non-autonomous critical p-Laplace problems,Laura Baldelli; Umberto Guarnotta,"We prove optimal decay estimates for positive solutions to elliptic p-Laplacian problems in the entire Euclidean space, when a critical nonlinearity with a decaying source term is considered. Also gradient decay estimates are furnished. Our results extend previous theorems in the literature, in which a purely critical reaction is treated. The technique is based on a priori estimates, regularity results, and rescaling arguments, combined with the doubling lemma.",AP,AP,1,0
